"","country","week","sex","avAbNumber","avCrRate","avStRate","avDifAbs","avDifCrRate","avDifStRate","regCrRate","regStRate","actCrRate","actStRate","regDifAbs","regDifCrRate","regDifStRate"
"3398","Netherlands",41,"female",1421.4,0.00856204997127565,0.00808269714916654,27.5999999999999,3.85103516243688e-05,-0.000230846770781079,0.0083728787703061,0.00763648964166058,0.00860056032290002,0.00785185037838546,35.9999999999991,0.000227681552593922,0.000215360736724875
"3399","Netherlands",41,"both",2813.4,0.00853737983865218,0.00933236435553989,208.6,0.000486758909295951,8.60405963671595e-05,0.00861702130023145,0.00900068490641187,0.00902413874794813,0.00941840495190705,132.399999999994,0.000407117447716676,0.000417720045495177
"3400","Netherlands",42,"male",1336.6,0.00817384482320366,0.0105821428249533,278.4,0.00153155525687914,0.00119467623812959,0.00839545898135674,0.0101656696741491,0.0097054000800828,0.0117768190630829,216,0.00130994109872606,0.00161114938893383
"3401","Netherlands",42,"female",1419.4,0.00854899595688138,0.00805444837890096,187.6,0.000989375636562607,0.000657146123405715,0.0086280881263556,0.0078881803356316,0.00953837159344399,0.00871159450230668,151.299999999999,0.000910283467088385,0.000823414166675075
"3402","Netherlands",42,"both",2756,0.00836288122769718,0.009153867446102,466,0.0012584870866274,0.000903878359628798,0.0085124087517444,0.00891261843287203,0.00962136831432458,0.0100577458057308,367.300000000003,0.00110895956258018,0.00114512737285877
"3403","Netherlands",43,"male",1383,0.00845980850880682,0.0109288866123091,426,0.00241144148801658,0.00233614646404035,0.00816654938558581,0.00977517016568608,0.0108712499968234,0.0132650330763494,446.400000000003,0.00270470061123759,0.00348986291066333
"3404","Netherlands",43,"female",1416,0.00853025755552854,0.00804811840880296,223,0.00119805049777245,0.000839591141689612,0.00813724389981701,0.0074577561460995,0.00972830805330099,0.00888770955049257,265.300000000003,0.00159106415348398,0.00142995340439307
"3405","Netherlands",43,"both",2799,0.00849530154033296,0.00929591836216085,649,0.00180093618399704,0.00147329435338465,0.0081519453343129,0.00848632717138753,0.01029623772433,0.0107692127155455,711.700000000004,0.0021442923900171,0.00228288554415797
"3406","Netherlands",44,"male",1358.8,0.00830982581371348,0.0108106514170516,506.2,0.00289795817969482,0.00286722212492025,0.00848722133105366,0.0102527438108607,0.0112077839934083,0.0136778735419719,450.699999999997,0.00272056266235464,0.00342512973111119
"3407","Netherlands",44,"female",1432.4,0.00862834359689337,0.00812889439817585,389.6,0.00218616358621483,0.00172040808407198,0.0084051175838491,0.00770968830462404,0.0108145071831082,0.00984930248224783,403.100000000004,0.0024093895992591,0.00213961417762379
